username,userid,profile_location,created_at,text,retweet_count,source,coordinates
P8NTRMAN🎨🏹,2887631776,Nation of WAUCONDA,2014-11-22 02:28:18,FINALLY JUSTICE ⚖️FOR #GARYRASOR the Home Depot Senior Employee who was victimized by an entitled BLM'r. They conti… https://t.co/GyNT6f6mMH,0,Twitter for Android,
Jeraun Hairston jr.,981041646472126464,"Seattle, WA",2018-04-03 05:32:10,"@moshie_r @raphousetv2 You’re a blm supporter, your opinion is invalid",0,Twitter for iPhone,
WA Ethnic Studies Now,1259894251460022272,"Seattle, WA",2020-05-11 17:13:06,"There's still time to register for our FREE #BlackLivesMatterAtSchool Curriculum Fair!

FREE:
history
resources
cur… https://t.co/nk0c4z5QOj",1,Twitter for Android,
The Peach 🍑,42293767,"Bellevue, WA",2009-05-24 22:23:32,"@raerae725 @RealScarey @krassenstein Shux, I thought it was BLM &amp; Antifa 🥴😑",0,Twitter for Android,
GrandOLTeam,937676766,"Seattle, WA USA",2012-11-09 20:20:45,"@kchamp06 You forgot this danger.

In NYC, 8,764 Blacks were shot by Blacks since 2006. 37 were shot by whites. You… https://t.co/muhrZq7wZL",0,Twitter Web App,
Spherical Niggaro,1600603769032826880,"Seattle, WA",2022-12-07 21:31:32,@JoAllen1016 @TalbertSwan So you are trying to stay equivalent to BLM?? LMAO Way to aim high.,0,Twitter for Android,
ty,4645252212,"Seattle, WA",2015-12-24 21:02:53,@tjw Like any private business they have their views. If the club use that money and keep speaking in favor of LGBT… https://t.co/r9lQSL7cxh,0,Twitter for iPhone,
Steven Halliwell,573335341,"Seattle, WA",2012-05-07 05:45:58,@LavishLife243 Payback. One for bravery of playing a gay black man and linking the 2 groups to help set up BLM styl… https://t.co/jF5rulfTRI,0,Twitter Web App,
👀? The Unwilling Mrs. Kravitz 👀?,19885037,Seattle,2009-02-02 00:22:56,@NoLieWithBTC A woman did the lawsuit in NY against Trump and it’s very possible the first indictment against him w… https://t.co/0s9HC1Vwc9,0,Twitter for iPhone,
Ran Ari-Gur,1672226522,"Redmond, Washington, USA",2013-08-15 04:35:36,@shatterdvisage @JakeMGrumbach Maybe that spin was more effective on people whose towns had low BLM turnout due to… https://t.co/ZdTluNke37,0,Twitter Web App,
