username,userid,profile_location,created_at,text,retweet_count,source,coordinates
WA State & Local,828774937640841216,"Bellevue, WA",2017-02-07 01:18:37,4 Must-Have Security Solutions for Remote Work #nowplaying #live #business #nowplaying #localgov #crypto #nft… https://t.co/un2kfItkiQ,1,Dynamic Signal,
AlgosRus.com,946738256774705153,"Seattle, WA",2017-12-29 13:42:44,Our remote work opportunities allow you to balance your professional and personal life in a way that works for you.… https://t.co/9kAMNbvyw8,0,Twitter Web App,
Matthew Balkman,21172917,"Kirkland, WA",2009-02-18 05:44:31,@EVEProGuides @SocDoneLeft @MattWalshBlog camps in the Mojave desert and other remote places away from society.,0,Twitter Web App,
Experis User Research Solutions,1072263886693265408,"Bellevue, WA",2018-12-10 22:56:47,"Speaking of remote gaming studies, how about another? Plug your controller into your PC, there is a play-test afoot… https://t.co/ySYI4DtM3Q",0,Twitter Web App,
Ashley Wong,64317576,Seattle,2009-08-10 02:34:41,One of the best side effects to me of people including pronouns in their signatures is knowing the gender of names… https://t.co/G1E9dPA4cP,0,Twitter for iPhone,
Zero State Reflex,1071908591014109184,"Seattle, WA",2018-12-09 23:24:57,"@Austen How common is it, where you don't work, and no one notices? 

Worked remote since the Rona and within a wee… https://t.co/E1Zbfg4Cbj",0,Twitter Web App,
Experis User Research Solutions,1072263886693265408,"Bellevue, WA",2018-12-10 22:56:47,"Someone in the house like playing video games? Whether that is you or not, we have a new remote study looking for m… https://t.co/eusgOE2ZbA",0,Twitter Web App,
Washington Finance,234256750,Washington,2011-01-05 05:57:23,"Want to work at Starbucks? We're hiring in #Seattle, WA! Click the link in our bio for details on this job and more… https://t.co/BeyhxTBFbl",1,CareerArc 2.0,"{'type': 'Point', 'coordinates': [-122.3356196, 47.5802366]}"
Mark Taylor-Canfield,22671315,Seattle,2009-03-03 20:14:45,"#DemocracyWatchNews #TwitterSpaces event with Dean Edwards @ekoskaiphos available for listening. 
New trends in… https://t.co/vBxRqI8A3m",0,Twitter Web App,
Puget Sound Business Journal,23785621,Greater Seattle ,2009-03-11 16:24:24,The pandemic fueled remote-work shift has given small town America a second chance at fresh growth. But is time run… https://t.co/Tppqwpjs7I,0,True Anthem,
Damon Pistulka,35243646,"Edmonds, WA",2009-04-25 16:06:56,4 ways remote work is better for women #dpistulka #leadership  #success   https://t.co/mlcuvO6Uud,0,SocialPilot.co,
Mark Taylor-Canfield,22671315,Seattle,2009-03-03 20:14:45,"My remote testimony for #Seattle City Council on #Initiative135.
Vote YES by #ValentinesDay Feb 14
Publicly owned p… https://t.co/4PN3KAFfx7",1,Twitter Web App,
Nick Brackney,297525686,"Seattle, WA",2011-05-12 17:14:06,@psb_dc @PhilzCoffee Only thing I don’t like that’s kind of silly is that you can’t use the WiFi functionality to m… https://t.co/6WVXkrrM1z,0,Twitter for iPhone,
Washington Finance,234256750,Washington,2011-01-05 05:57:23,"Stop staring at the clock every day. It's time for a new career. Follow us to view jobs with titles like ""Seasonal… https://t.co/V2nJbvr5h7",0,CareerArc 2.0,"{'type': 'Point', 'coordinates': [-122.3320708, 47.6062095]}"
